CARD NAME,RELEASE DATE,SET,RARITY,Shandalar ID,Gatherer ID,TYPE,COST,POWER,TOUGHNESS,TEXT,CTYPE,COLOR_IDENTITY
Forest,10/1/1993,Limited Edition Beta,Land,.91,587,Basic Land - Forest,,,,G,land,{G}
Island,10/1/1993,Limited Edition Beta,Land,.126,592,Basic Land - Island,,,,U,land,{U}
Mountain,10/1/1993,Limited Edition Beta,Land,.164,591,Basic Land - Mountain,,,,R,land,{R}
Plains,10/1/1993,Limited Edition Beta,Land,.188,597,Basic Land - Plains,,,,W,land,{W}
Swamp,10/1/1993,Limited Edition Beta,Land,.239,575,Basic Land - Swamp,,,,B,land,{B}
Benalish Hero,10/1/1993,Limited Edition Beta,Common,.13,530,Creature - Human Soldier,{W},1,1,"Banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>",mono,{W}
Blue Elemental Blast,10/1/1993,Limited Edition Beta,Common,.22,392,Instant,{U},,,Choose one- Counter target red spell; or destroy target red permanent.,mono,{U}
Circle of Protection: Black,10/1/1993,Limited Edition Beta,Common,.33,536,Enchantment,{1}{W},,,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.",mono,{W}
Circle of Protection: Blue,10/1/1993,Limited Edition Beta,Common,.34,537,Enchantment,{1}{W},,,"{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.",mono,{W}
Circle of Protection: Green,10/1/1993,Limited Edition Beta,Common,.35,538,Enchantment,{1}{W},,,"{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.",mono,{W}
Circle of Protection: Red,10/1/1993,Limited Edition Beta,Common,.36,539,Enchantment,{1}{W},,,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.",mono,{W}
Circle of Protection: White,10/1/1993,Limited Edition Beta,Common,.37,540,Enchantment,{1}{W},,,"{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.",mono,{W}
Craw Wurm,10/1/1993,Limited Edition Beta,Common,.49,441,Creature - Wurm,{4}{G}{G},6,4,,mono,{G}
Creature Bond,10/1/1993,Limited Edition Beta,Common,.50,398,Enchantment - Aura,{1}{U},,,"Enchant creature<br>When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.",mono,{U}
Dark Ritual,10/1/1993,Limited Edition Beta,Common,.55,349,Instant,{B},,,Add {B}{B}{B} to your mana pool.,mono,{B}
Death Ward,10/1/1993,Limited Edition Beta,Common,.57,544,Instant,{W},,,Regenerate target creature.,mono,{W}
Disenchant,10/1/1993,Limited Edition Beta,Common,.64,545,Instant,{1}{W},,,Destroy target artifact or enchantment.,mono,{W}
Disintegrate,10/1/1993,Limited Edition Beta,Common,.65,483,Sorcery,{X}{R},,,"Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.",mono,{R}
Drain Life,10/1/1993,Limited Edition Beta,Common,.68,356,Sorcery,{X}{1}{B},,,"Spend only black mana on X.<br>Drain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.",mono,{B}
Drudge Skeletons,10/1/1993,Limited Edition Beta,Common,.70,357,Creature - Skeleton,{1}{B},1,1,"{B}: Regenerate Drudge Skeletons. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>",mono,{B}
Dwarven Warriors,10/1/1993,Limited Edition Beta,Common,.72,486,Creature - Dwarf Warrior,{2}{R},1,1,{T}: Target creature with power 2 or less is unblockable this turn.,mono,{R}
Earthbind,10/1/1993,Limited Edition Beta,Common,.74,488,Enchantment - Aura,{R},,,"Enchant creature<br>When Earthbind enters the battlefield, if enchanted creature has flying, Earthbind deals 2 damage to that creature and Earthbind gains ""Enchanted creature loses flying.""",mono,{R}
Fear,10/1/1993,Limited Edition Beta,Common,.81,359,Enchantment - Aura,{B}{B},,,Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>Enchanted creature has fear. <i>(It can't be blocked except by artifact creatures and/or black creatures.)</i>,mono,{B}
Fireball,10/1/1993,Limited Edition Beta,Common,.84,492,Sorcery,{X}{R},,,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.<br>Fireball costs {1} more to cast for each target beyond the first.",mono,{R}
Firebreathing,10/1/1993,Limited Edition Beta,Common,.85,493,Enchantment - Aura,{R},,,Enchant creature<br>{R}: Enchanted creature gets +1/+0 until end of turn.,mono,{R}
Flight,10/1/1993,Limited Edition Beta,Common,.87,401,Enchantment - Aura,{U},,,Enchant creature<br>Enchanted creature has flying.,mono,{U}
Fog,10/1/1993,Limited Edition Beta,Common,.88,444,Instant,{G},,,Prevent all combat damage that would be dealt this turn.,mono,{G}
Frozen Shade,10/1/1993,Limited Edition Beta,Common,.93,360,Creature - Shade,{2}{B},0,1,{B}: Frozen Shade gets +1/+1 until end of turn.,mono,{B}
Giant Growth,10/1/1993,Limited Edition Beta,Common,.97,448,Instant,{G},,,Target creature gets +3/+3 until end of turn.,mono,{G}
Giant Spider,10/1/1993,Limited Edition Beta,Common,.98,449,Creature - Spider,{3}{G},2,4,Reach <i>(This creature can block creatures with flying.)</i>,mono,{G}
